Vehicle ID,Local Trip Start Time,Local Trip End Time,Total Distance,Idling Time,Driving Time,Total Run Time,Initial SOC,Final SOC,SOC Used,Total Energy Consumption,Average Ambient Temperature,Initial Odometer,Final Odometer
EV026,9/4/2018 15:02,9/4/2018 18:00,33.03,0.764,2.2,2.964,96.5,62,34.5,84.077,94.64,,
EV026,9/4/2018 13:24,9/4/2018 14:40,13.718,0.342,0.919,1.261,88.5,56.5,32,34.211,96.08,,
EV026,8/30/2018 5:29,8/30/2018 17:05,134.081,2.975,8.633,11.608,86,56.5,29.5,288.219,68.36,,
EV026,8/28/2018 17:11,8/28/2018 18:14,14.324,0.214,0.825,1.039,99,92,7,26.743,80.6,,
EV026,8/28/2018 10:03,8/28/2018 16:59,80.926,1.978,4.953,6.931,100,67.5,32.5,163.961,77.36,,
EV026,8/28/2018 5:36,8/28/2018 9:52,54.035,1.119,3.15,4.269,85,64,21,120.052,62.6,,
EV026,8/8/2018 14:08,8/8/2018 16:29,24.31,0.569,1.783,2.353,98.5,92,6.5,57.173,96.44,,
EV026,8/8/2018 5:27,8/8/2018 13:54,101.897,2.131,6.317,8.447,77.5,67.5,10,210.457,77.36,,
EV026,7/18/2018 11:13,7/18/2018 16:29,57.103,1.536,3.736,5.272,98.5,90.5,8,118.108,96.44,,
EV026,7/18/2018 10:12,7/18/2018 10:59,10.841,0.1,0.678,0.778,98.5,73,25.5,20.292,88.52,,
EV026,7/18/2018 9:10,7/18/2018 9:57,10.89,0.131,0.642,0.772,99,75,24,19.828,81.32,,
EV026,7/18/2018 5:26,7/18/2018 8:57,47.555,1.017,2.503,3.519,86.5,74.5,12,90.151,69.44,,
EV026,7/16/2018 6:21,7/16/2018 16:20,111.528,2.864,7.117,9.981,99,93.5,5.5,228.127,80.96,,
EV026,7/16/2018 5:27,7/16/2018 6:11,14.838,0.139,0.583,0.722,89,55,34,26.238,61.16,,
EV026,7/12/2018 17:12,7/12/2018 18:51,21.599,0.383,1.278,1.661,98,93,5,42.507,93.56,,
EV026,7/12/2018 11:11,7/12/2018 16:55,65.243,1.425,4.3,5.725,97.5,72.5,25,137.823,93.56,,
