Vehicle ID,Local Trip Start Time,Local Trip End Time,Total Distance,Idling Time,Driving Time,Total Run Time,Initial SOC,Final SOC,SOC Used,Total Energy Consumption,Average Ambient Temperature,Initial Odometer,Final Odometer
EV027,9/19/2018 17:25,9/19/2018 17:49,7.179,0.02,0.37,0.386,73.5,48.5,25,16.856,89.6,,
EV027,9/19/2018 16:57,9/19/2018 17:14,6.493,0.01,0.29,0.294,93,76,17,13.704,88.88,,
EV027,9/19/2018 11:56,9/19/2018 16:42,69.33,1.24,3.52,4.758,99.5,45,54.5,156.092,86.36,,
EV027,9/19/2018 9:37,9/19/2018 11:43,28.361,0.55,1.55,2.1,99.5,52.5,47,52.848,76.28,,
EV027,9/19/2018 9:15,9/19/2018 9:22,2.468,0.01,0.12,0.125,94,85.5,8.5,5.372,71.6,,
EV027,9/18/2018 16:54,9/18/2018 16:57,0.231,0.01,0.04,0.047,95.5,93,2.5,0.465,87.08,,
EV027,9/17/2018 19:43,9/17/2018 19:53,0.232,0.1,0.06,0.158,94,95,-1,0.68,67.64,,
EV027,9/17/2018 17:42,9/17/2018 18:43,16.399,0.2,0.82,1.019,97.5,92,5.5,34.948,77,,
EV027,9/17/2018 16:42,9/17/2018 17:29,13.622,0.1,0.69,0.792,96,55.5,40.5,29.901,84.56,,
EV027,9/17/2018 15:34,9/17/2018 16:20,13.562,0.05,0.71,0.764,98,62.5,35.5,28.873,88.52,,
EV027,9/17/2018 6:38,9/17/2018 15:19,124.414,2.35,6.34,8.683,100,55.5,44.5,253.731,71.24,,
EV027,9/17/2018 5:57,9/17/2018 6:27,11.712,0.02,0.49,0.508,90.5,50,40.5,25.979,53.24,,
EV027,9/15/2018 16:42,9/15/2018 16:45,0.247,0,0.05,0.047,94.5,92,2.5,0.478,84.2,,
EV027,9/14/2018 23:12,9/14/2018 23:26,0.364,0.15,0.08,0.228,97,94,3,1.195,63.32,,
EV027,9/14/2018 18:32,9/14/2018 19:59,16.508,0.6,0.84,1.447,96.5,97.5,-1,36.721,72.32,,
EV027,9/14/2018 17:18,9/14/2018 18:10,13.587,0.23,0.64,0.872,90,50,40,29.25,80.96,,
EV027,9/14/2018 14:14,9/14/2018 17:07,41.47,0.78,2.11,2.886,98,44,54,95.185,84.56,,
EV027,9/14/2018 10:14,9/14/2018 14:01,54.804,0.9,2.88,3.781,99,54.5,44.5,111.76,79.16,,
EV027,9/14/2018 7:27,9/14/2018 10:03,40.692,0.45,2.15,2.6,98.5,56,42.5,81.292,64.76,,
EV027,9/14/2018 6:23,9/14/2018 7:13,13.678,0.07,0.76,0.825,98.5,56,42.5,26.738,60.08,,
EV027,9/14/2018 5:39,9/14/2018 6:13,11.881,0.06,0.51,0.567,76.5,46,30.5,19.619,58.64,,
EV027,9/14/2018 4:42,9/14/2018 4:43,0.122,0,0.03,0.028,83,81.5,1.5,0.348,55.04,,
EV027,9/13/2018 16:28,9/13/2018 16:32,0.21,0.03,0.04,0.064,85,82.5,2.5,0.456,85.64,,
EV027,9/12/2018 17:30,9/12/2018 17:33,0.23,0.01,0.03,0.044,86,84,2,0.531,77,,
EV027,9/10/2018 17:48,9/10/2018 17:52,0.258,0.03,0.03,0.061,87.5,85.5,2,0.545,91.4,,
EV027,9/10/2018 16:44,9/10/2018 16:45,0.113,0,0.02,0.019,88.5,87.5,1,0.235,97.88,,
EV027,9/7/2018 19:37,9/7/2018 19:50,0.244,0.13,0.09,0.225,91,89,2,0.747,79.52,,
EV027,9/7/2018 19:07,9/7/2018 19:16,2.662,0.02,0.13,0.144,97,90.5,6.5,5.579,86,,
EV027,9/7/2018 17:51,9/7/2018 18:38,13.72,0.11,0.68,0.789,78.5,39,39.5,28.453,91.04,,
EV027,9/7/2018 16:41,9/7/2018 17:36,13.739,0.2,0.72,0.917,85,47.5,37.5,30.563,98.6,,
EV027,9/7/2018 15:32,9/7/2018 16:25,13.894,0.1,0.78,0.875,93,53.5,39.5,29.98,101.84,,
EV027,9/7/2018 5:47,9/7/2018 15:22,136.231,2.61,6.96,9.578,90.5,54,36.5,263.335,78.44,,
EV027,9/6/2018 23:46,9/6/2018 23:49,0.181,0,0.04,0.044,94,93.5,0.5,0.331,67.28,,
EV027,9/6/2018 21:52,9/6/2018 21:55,0.205,0.01,0.04,0.053,53.5,52.5,1,0.397,69.8,,
EV027,9/6/2018 18:33,9/6/2018 18:39,0.229,0.05,0.03,0.086,52.5,52,0.5,0.478,86,,
EV027,9/6/2018 18:03,9/6/2018 18:16,5.007,0,0.22,0.219,62.5,51.5,11,8.1,88.16,,
EV027,9/6/2018 17:01,9/6/2018 17:26,8.48,0.04,0.37,0.408,91.5,76,15.5,17.515,90.68,,
EV027,9/6/2018 16:02,9/6/2018 16:49,13.975,0.07,0.71,0.781,94.5,52.5,42,30.945,93.2,,
EV027,9/6/2018 13:56,9/6/2018 15:50,27.923,0.32,1.58,1.906,97,52,45,66.599,92.12,,
EV027,9/6/2018 5:41,9/6/2018 13:43,112.294,2.25,5.78,8.025,87,60,27,235.952,71.96,,
EV027,9/5/2018 17:04,9/5/2018 17:10,0.133,0.05,0.05,0.097,93.5,91.5,2,0.463,84.92,,
EV027,9/5/2018 17:04,9/5/2018 17:10,0.222,0.05,0.06,0.108,95,91.5,3.5,0.661,85.28,,
EV027,9/4/2018 23:12,9/4/2018 23:16,0.249,0.03,0.05,0.075,96,95,1,0.529,72.68,,
EV027,9/4/2018 22:40,9/4/2018 22:43,0.078,0.03,0.03,0.056,67.5,65,2.5,0.353,70.88,,
EV027,9/4/2018 21:33,9/4/2018 21:42,0.089,0.11,0.03,0.139,72.5,66.5,6,0.427,76.64,,
EV027,9/4/2018 16:42,9/4/2018 16:43,0.101,0,0.02,0.017,75.5,74.5,1,0.164,101.48,,
EV027,9/1/2018 14:34,9/1/2018 14:36,0.189,0,0.04,0.036,77.5,75.5,2,0.331,102.2,,
EV027,8/29/2018 17:00,8/29/2018 17:50,13.754,0.12,0.72,0.839,85,42.5,42.5,31.045,82.04,,
EV027,8/29/2018 11:18,8/29/2018 16:45,76.267,1.51,3.95,5.456,81.5,40.5,41,176.007,83.84,,
EV027,8/29/2018 10:19,8/29/2018 11:07,13.689,0.14,0.67,0.811,87,82,5,28.063,78.8,,
EV027,8/29/2018 5:39,8/29/2018 10:08,64.029,1.13,3.36,4.483,92.5,88,4.5,122.483,65.48,,
EV027,8/28/2018 17:06,8/28/2018 18:46,23.497,0.49,1.18,1.669,84.5,92,-7.5,50.241,81.32,,
EV027,8/28/2018 7:33,8/28/2018 16:55,129.772,2.54,6.83,9.361,100,86.5,13.5,257.786,71.24,,
EV027,8/28/2018 5:53,8/28/2018 7:22,25.466,0.3,1.18,1.481,90,60,30,52.129,57.92,,
EV027,8/9/2018 18:41,8/9/2018 19:24,13.55,0.07,0.64,0.717,77.5,38,39.5,27.638,96.8,,
EV027,8/9/2018 17:21,8/9/2018 18:16,13.753,0.18,0.74,0.925,66.5,44,22.5,30.042,102.92,,
EV027,8/9/2018 15:45,8/9/2018 17:10,19.532,0.37,1.05,1.422,96.5,52.5,44,42.357,106.16,,
EV027,8/9/2018 11:13,8/9/2018 15:14,55.153,1.16,2.86,4.019,99,44,55,122.473,97.52,,
EV027,8/9/2018 9:15,8/9/2018 10:59,27.563,0.34,1.39,1.731,99.5,62.5,37,57.039,84.92,,
EV027,8/9/2018 5:34,8/9/2018 9:04,54.027,0.83,2.68,3.508,82.5,62.5,20,111.75,70.16,,
EV027,8/7/2018 18:43,8/7/2018 19:25,13.688,0.06,0.65,0.711,73,33,40,29.754,86.72,,
EV027,8/7/2018 17:32,8/7/2018 18:14,13.686,0.05,0.64,0.692,72.5,31,41.5,28.34,91.4,,
EV027,8/7/2018 16:25,8/7/2018 17:13,14.015,0.09,0.71,0.8,72,27.5,44.5,30.594,95,,
EV027,8/7/2018 14:14,8/7/2018 16:10,27.472,0.46,1.47,1.931,97,40,57,61.693,95.72,,
EV027,8/7/2018 10:22,8/7/2018 14:03,54.486,0.81,2.88,3.686,98.5,53,45.5,110.472,88.16,,
EV027,8/7/2018 8:22,8/7/2018 10:09,27.038,0.35,1.43,1.772,99,66.5,32.5,49.195,74.84,,
EV027,8/7/2018 7:18,8/7/2018 8:09,13.54,0.11,0.74,0.85,99,65.5,33.5,26.081,67.64,,
EV027,8/7/2018 6:25,8/7/2018 7:06,13.55,0.02,0.67,0.689,100,75.5,24.5,25.72,64.76,,
EV027,8/7/2018 5:39,8/7/2018 6:13,12.023,0.06,0.51,0.569,85.5,55,30.5,18.809,63.32,,
EV027,8/5/2018 17:58,8/5/2018 18:49,13.713,0.15,0.71,0.853,73.5,35.5,38,26.559,90.32,,
EV027,8/5/2018 16:57,8/5/2018 17:42,13.695,0.11,0.64,0.747,78.5,41.5,37,28.925,93.2,,
EV027,8/5/2018 15:54,8/5/2018 16:42,13.716,0.15,0.65,0.794,86.5,44.5,42,30.162,93.92,,
EV027,8/5/2018 12:42,8/5/2018 15:40,41.358,0.65,2.32,2.972,99,40,59,85.251,91.04,,
EV027,8/5/2018 11:40,8/5/2018 12:29,13.617,0.09,0.72,0.806,97,55,42,27.453,87.44,,
EV027,8/5/2018 7:42,8/5/2018 11:28,54.432,0.93,2.84,3.769,91.5,48,43.5,102.929,74.48,,
EV027,8/3/2018 17:54,8/3/2018 18:44,13.962,0.11,0.73,0.842,85.5,44.5,41,28.767,93.92,,
EV027,8/3/2018 16:37,8/3/2018 17:34,13.724,0.24,0.72,0.953,84,43,41,27.636,97.16,,
EV027,8/3/2018 10:34,8/3/2018 16:22,82.357,1.5,4.29,5.789,97.5,46,51.5,168.507,89.24,,
EV027,8/3/2018 5:52,8/3/2018 10:22,66.453,1.35,3.14,4.489,90,59,31,135.846,69.08,,
EV027,8/2/2018 17:47,8/2/2018 18:32,13.685,0.07,0.69,0.756,87.5,50,37.5,29.003,94.64,,
EV027,8/2/2018 16:40,8/2/2018 17:33,13.7,0.18,0.69,0.878,96,54,42,28.614,97.52,,
EV027,8/2/2018 8:33,8/2/2018 16:27,110.316,2.08,5.81,7.894,99,52,47,219.719,86,,
EV027,8/2/2018 5:57,8/2/2018 8:23,39.066,0.59,1.84,2.422,100,72.5,27.5,77.69,66.2,,
EV027,7/19/2018 15:30,7/19/2018 16:36,13.842,0.19,0.91,1.103,75.5,40,35.5,25.953,107.24,,
EV027,7/19/2018 13:36,7/19/2018 14:47,14.042,0.24,0.95,1.192,62,46,16,25.665,102.92,,
EV027,7/19/2018 9:35,7/19/2018 13:25,55.487,0.86,2.98,3.836,99,40.5,58.5,119.718,91.04,,
EV027,7/19/2018 5:56,7/19/2018 9:24,53.115,0.98,2.48,3.458,100,56.5,43.5,113.697,71.6,,
EV027,7/12/2018 17:05,7/12/2018 17:47,13.53,0.05,0.66,0.708,52.5,14.5,38,26.753,98.96,,
EV027,7/12/2018 15:58,7/12/2018 16:41,13.641,0.06,0.66,0.719,62,26.5,35.5,25.56,102.56,,
EV027,7/12/2018 11:54,7/12/2018 15:39,55.486,0.89,2.88,3.761,99,37.5,61.5,116.991,96.8,,
EV027,7/12/2018 5:40,7/12/2018 11:43,83.967,1.51,4.53,6.047,86.5,55.5,31,157.23,75.92,,
EV027,7/10/2018 14:59,7/10/2018 15:50,13.264,0.2,0.64,0.842,60.5,28,32.5,27.326,106.88,,
EV027,7/10/2018 5:38,7/10/2018 14:43,125.564,2.37,6.73,9.094,77.5,41.5,36,259.332,85.64,,
EV027,6/26/2018 5:50,6/26/2018 7:12,22.703,0.4,0.96,1.356,93,78,15,40.788,60.8,,
EV027,3/27/2018 10:55,3/27/2018 13:11,30.089,0.62,1.64,2.258,100,94,6,56.815,71.24,,
EV027,3/27/2018 9:57,3/27/2018 10:44,13.647,0.07,0.71,0.786,99.5,73.5,26,24.767,63.32,,
EV027,3/27/2018 8:55,3/27/2018 9:46,13.654,0.1,0.76,0.858,99.5,65.5,34,24.357,57.56,,
EV027,3/27/2018 7:56,3/27/2018 8:42,13.574,0.05,0.71,0.761,100,76,24,23.344,49.64,,
EV027,3/27/2018 5:36,3/27/2018 7:44,29.748,0.54,1.58,2.119,84,60.5,23.5,57.381,44.24,,
EV027,3/25/2018 16:19,3/25/2018 19:29,43.424,0.87,2.31,3.178,99,96.5,2.5,90.89,61.16,,
EV027,3/25/2018 11:13,3/25/2018 16:03,68.483,1.28,3.55,4.831,99,65.5,33.5,143.058,66.56,,
EV027,3/25/2018 10:10,3/25/2018 10:59,13.643,0.09,0.72,0.817,97,71,26,25.602,59.72,,
EV027,3/25/2018 8:48,3/25/2018 9:58,16.175,0.31,0.86,1.169,86,56,30,32.812,50.72,,
EV027,3/24/2018 17:58,3/24/2018 19:09,16.562,0.33,0.85,1.186,98.5,96.5,2,34.903,55.4,,
EV027,3/24/2018 15:44,3/24/2018 17:45,28.378,0.43,1.59,2.014,100,60.5,39.5,54.868,63.68,,
EV027,3/24/2018 14:48,3/24/2018 15:33,13.647,0.08,0.68,0.756,100,64,36,26.369,64.04,,
EV027,3/24/2018 13:46,3/24/2018 14:36,13.66,0.15,0.68,0.833,100,72,28,25.415,62.96,,
EV027,3/24/2018 12:43,3/24/2018 13:33,13.644,0.1,0.72,0.825,100,74,26,23.256,61.16,,
EV027,3/24/2018 9:05,3/24/2018 12:28,48.59,0.88,2.51,3.394,83.5,75,8.5,91.59,54.32,,
EV027,3/24/2018 7:58,3/24/2018 8:53,13.627,0.2,0.72,0.914,54,84,-30,25.156,50.72,,
EV027,3/23/2018 16:30,3/23/2018 19:35,43.416,0.57,2.51,3.078,99,93.5,5.5,78.66,60.8,,
EV027,3/23/2018 14:14,3/23/2018 15:52,24.428,0.43,1.21,1.639,99.5,74.5,25,48.541,67.28,,
EV027,3/23/2018 9:16,3/23/2018 14:01,68.878,0.98,3.77,4.75,100,57.5,42.5,133.161,61.52,,
EV027,3/23/2018 5:36,3/23/2018 9:05,52.947,1.11,2.37,3.483,94,55,39,109.774,44.6,,
EV027,3/22/2018 18:26,3/22/2018 20:02,16.675,0.66,0.93,1.589,99,98.5,0.5,34.928,53.6,,
EV027,3/22/2018 14:16,3/22/2018 17:34,47.382,0.83,2.47,3.3,98.5,90.5,8,101.643,68.72,,
EV027,3/22/2018 11:17,3/22/2018 13:58,40.655,0.46,2.23,2.689,100,67,33,79.372,64.76,,
EV027,3/22/2018 8:15,3/22/2018 11:06,41.022,0.69,2.15,2.844,100,60,40,85.699,62.24,,
EV027,3/22/2018 5:37,3/22/2018 8:04,39.35,0.67,1.79,2.456,91.5,52,39.5,78.867,59.72,,
EV027,3/19/2018 18:26,3/19/2018 19:15,13.643,0.12,0.7,0.825,99,71,28,27.847,64.4,,
EV027,3/19/2018 9:16,3/19/2018 17:38,115.862,2.14,6.23,8.367,100,88,12,236.359,60.8,,
EV027,3/19/2018 5:33,3/19/2018 9:04,52.961,1.08,2.44,3.519,89.5,55,34.5,113.631,43.16,,
EV027,3/17/2018 17:16,3/17/2018 18:45,20.954,0.28,1.2,1.478,78,62.5,15.5,38.136,60.08,,
EV027,3/17/2018 14:45,3/17/2018 17:06,33.681,0.56,1.79,2.347,100,79,21,66.428,61.16,,
EV027,3/17/2018 12:43,3/17/2018 14:34,27.806,0.38,1.47,1.844,100,76,24,53.129,65.12,,
EV027,3/17/2018 10:39,3/17/2018 12:28,27.333,0.47,1.36,1.825,96.5,71,25.5,51.296,59.36,,
EV027,3/17/2018 8:33,3/17/2018 10:27,27.745,0.49,1.4,1.889,93.5,55,38.5,54.727,49.64,,
EV027,3/17/2018 7:33,3/17/2018 8:22,13.173,0.24,0.58,0.819,90,45,45,25.759,42.8,,
EV027,3/16/2018 10:52,3/16/2018 18:00,98.072,1.86,5.28,7.139,100,95.5,4.5,191.708,54.32,,
EV027,3/16/2018 8:55,3/16/2018 10:39,27.003,0.38,1.34,1.725,100,51.5,48.5,56.96,49.64,,
EV027,3/16/2018 5:38,3/16/2018 8:43,43.377,0.76,2.32,3.083,90,57.5,32.5,81.3,47.12,,
EV027,3/14/2018 16:56,3/14/2018 18:04,15.97,0.29,0.84,1.136,100,95,5,30.863,60.44,,
EV027,3/14/2018 9:55,3/14/2018 16:42,96.061,1.66,5.13,6.792,100,65.5,34.5,188.274,57.56,,
EV027,3/14/2018 8:55,3/14/2018 9:44,13.65,0.1,0.71,0.817,100,65,35,25.002,53.6,,
EV027,3/14/2018 7:54,3/14/2018 8:44,13.695,0.08,0.75,0.828,97.5,67,30.5,26.248,50.36,,
EV027,3/14/2018 5:41,3/14/2018 7:44,29.653,0.43,1.61,2.044,95.5,56,39.5,54.751,48.56,,
EV027,3/13/2018 16:54,3/13/2018 18:03,16.178,0.29,0.86,1.156,99,94,5,30.724,60.44,,
EV027,3/13/2018 10:55,3/13/2018 16:43,82.765,1.38,4.43,5.806,99.5,72.5,27,172.79,63.68,,
EV027,3/13/2018 5:39,3/13/2018 10:44,70.979,1.29,3.8,5.089,63,62.5,0.5,139.178,62.6,,
EV027,3/12/2018 16:59,3/12/2018 17:56,16.253,0.12,0.83,0.944,98.5,64.5,34,35.702,75.92,,
EV027,3/12/2018 15:51,3/12/2018 16:40,13.545,0.14,0.66,0.808,99,58,41,28.672,78.44,,
EV027,3/12/2018 14:53,3/12/2018 15:40,13.605,0.14,0.65,0.786,100,71.5,28.5,27.975,80.96,,
EV027,3/12/2018 13:55,3/12/2018 14:43,13.619,0.1,0.7,0.8,99.5,54,45.5,31.568,83.12,,
EV027,3/12/2018 12:54,3/12/2018 13:42,13.617,0.13,0.68,0.811,100,61.5,38.5,29.241,78.08,,
EV027,3/12/2018 6:33,3/12/2018 12:43,84.433,1.6,4.56,6.164,87,63,24,164.048,64.04,,
EV027,3/7/2018 16:37,3/7/2018 19:00,30.53,0.55,1.84,2.389,99,93.5,5.5,56.65,68.36,,
EV027,3/7/2018 5:50,3/7/2018 16:22,146.02,2.99,7.53,10.522,91,54.5,36.5,312.914,60.8,,
EV027,3/5/2018 17:45,3/5/2018 18:22,12.804,0.09,0.53,0.611,98.5,63.5,35,25.531,57.92,,
EV027,3/5/2018 10:56,3/5/2018 17:31,89.053,1.88,4.71,6.586,89,67.5,21.5,187.071,65.12,,
EV027,3/5/2018 5:49,3/5/2018 10:45,70.246,1.43,3.49,4.919,83,82.5,0.5,149.235,43.52,,
EV027,3/4/2018 17:04,3/4/2018 19:40,30.559,0.89,1.71,2.6,100,95,5,62.324,48.56,,
EV027,3/4/2018 16:05,3/4/2018 16:51,13.376,0.1,0.67,0.772,100,72.5,27.5,24.087,55.76,,
EV027,3/4/2018 15:03,3/4/2018 15:52,13.569,0.09,0.74,0.825,100,72.5,27.5,25.89,59.36,,
EV027,3/4/2018 12:07,3/4/2018 14:52,40.609,0.53,2.23,2.756,100,74,26,75.243,60.44,,
EV027,3/4/2018 11:08,3/4/2018 11:56,13.556,0.06,0.73,0.792,100,72.5,27.5,25.313,60.08,,
EV027,3/4/2018 10:09,3/4/2018 10:55,13.487,0.09,0.68,0.767,100,64,36,25.299,54.68,,
EV027,3/4/2018 9:14,3/4/2018 9:57,13.376,0.05,0.66,0.708,100,73,27,25.127,51.44,,
EV027,3/4/2018 8:13,3/4/2018 8:52,13.194,0.11,0.53,0.639,85.5,34.5,51,25.126,43.88,,
EV027,3/3/2018 11:50,3/3/2018 13:34,20.674,0.61,1.12,1.728,80.5,92,-11.5,45.025,57.92,,
EV027,3/3/2018 10:09,3/3/2018 10:53,13.557,0.03,0.71,0.742,99.5,71.5,28,23.58,56.84,,
EV027,3/3/2018 9:10,3/3/2018 9:55,13.757,0.05,0.7,0.753,100,67,33,25.311,51.8,,
EV027,3/3/2018 8:13,3/3/2018 8:52,13.289,0.09,0.55,0.642,82,37.5,44.5,26.433,43.52,,
EV027,3/2/2018 18:36,3/2/2018 19:39,16.076,0.15,0.89,1.044,99,94.5,4.5,31.908,49.28,,
EV027,3/2/2018 15:25,3/2/2018 18:11,37.432,0.55,2.21,2.758,99,56.5,42.5,71.34,50.72,,
EV027,3/2/2018 11:13,3/2/2018 15:13,54.403,0.86,3.14,3.994,98.5,63,35.5,117.499,54.68,,
EV027,3/2/2018 10:19,3/2/2018 11:03,13.967,0.04,0.68,0.722,100,52,48,33.32,56.84,,
EV027,3/2/2018 9:20,3/2/2018 10:04,13.511,0.08,0.66,0.739,97.5,48,49.5,33.445,56.84,,
EV027,3/2/2018 8:23,3/2/2018 9:08,13.72,0.07,0.68,0.75,97,45.5,51.5,34.319,50.36,,
EV027,3/2/2018 7:23,3/2/2018 8:07,13.7,0.05,0.68,0.733,86.5,36,50.5,33.964,46.4,,
EV027,3/2/2018 6:22,3/2/2018 7:12,13.642,0.16,0.68,0.839,83.5,35.5,48,34.604,43.16,,
EV027,2/28/2018 18:26,2/28/2018 19:39,18.26,0.23,0.99,1.217,99,92,7,40.345,56.84,,
EV027,2/28/2018 17:19,2/28/2018 18:14,13.742,0.18,0.73,0.911,99.5,61,38.5,31.24,57.56,,
EV027,2/28/2018 10:18,2/28/2018 17:09,97.11,1.69,5.17,6.856,100,56,44,226.182,58.28,,
EV027,2/28/2018 9:16,2/28/2018 10:03,13.636,0.09,0.69,0.781,96.5,49,47.5,30.184,52.88,,
EV027,2/28/2018 8:19,2/28/2018 9:06,13.817,0.06,0.71,0.769,92.5,41.5,51,35.606,46.4,,
EV027,2/28/2018 7:23,2/28/2018 8:08,13.736,0.05,0.7,0.753,89,34.5,54.5,36.226,40.28,,
EV027,2/28/2018 5:41,2/28/2018 7:09,22.96,0.29,1.18,1.464,86,26,60,64.917,37.4,,
EV027,2/24/2018 18:03,2/24/2018 19:11,16.432,0.33,0.81,1.142,99,92.5,6.5,33.785,52.52,,
EV027,2/24/2018 15:09,2/24/2018 17:51,41.203,0.58,2.12,2.7,100,56.5,43.5,94.907,58.28,,
EV027,2/24/2018 13:09,2/24/2018 14:56,27.287,0.35,1.42,1.772,100,59,41,58.652,63.32,,
EV027,2/24/2018 12:12,2/24/2018 12:57,13.876,0.06,0.69,0.753,100,60,40,28.815,64.4,,
EV027,2/24/2018 11:06,2/24/2018 11:55,13.861,0.09,0.71,0.806,100,73,27,28.59,62.24,,
EV027,2/24/2018 9:18,2/24/2018 10:53,27.754,0.24,1.35,1.583,95,53,42,57.102,53.24,,
EV027,2/24/2018 8:26,2/24/2018 9:01,13.023,0.02,0.57,0.592,97,41,56,26.837,43.52,,
EV027,2/23/2018 14:16,2/23/2018 16:37,30.339,0.53,1.82,2.344,99.5,94,5.5,63.563,57.56,,
EV027,2/23/2018 13:18,2/23/2018 14:04,13.686,0.07,0.69,0.761,99.5,60.5,39,30.455,60.44,,
EV027,2/23/2018 10:18,2/23/2018 13:03,41.431,0.57,2.18,2.75,100,54,46,93.676,55.04,,
EV027,2/23/2018 9:18,2/23/2018 10:02,13.836,0.08,0.66,0.733,100,54,46,31.806,47.48,,
EV027,2/23/2018 6:20,2/23/2018 9:00,41.306,0.59,2.09,2.681,82.5,44.5,38,100.103,39.2,,
EV027,2/21/2018 16:39,2/21/2018 18:54,31.18,0.46,1.78,2.247,98.5,93.5,5,57.457,54.68,,
EV027,2/21/2018 10:56,2/21/2018 16:29,78.504,1.3,4.24,5.547,80,58,22,173.385,62.24,,
EV027,2/21/2018 6:34,2/21/2018 10:45,62.708,1.06,3.13,4.183,87.5,79,8.5,141.705,44.24,,
EV027,2/18/2018 17:07,2/18/2018 19:27,31.104,0.65,1.68,2.325,99,94.5,4.5,70.507,51.44,,
EV027,2/18/2018 16:03,2/18/2018 16:52,13.977,0.07,0.75,0.822,96.5,72,24.5,31.261,57.2,,
