Vehicle ID,Local Trip Start Time,Local Trip End Time,Total Distance,Idling Time,Driving Time,Total Run Time,Initial SOC,Final SOC,SOC Used,Total Energy Consumption,Average Ambient Temperature,Initial Odometer,Final Odometer
EV027,9/28/2018 21:28,9/28/2018 21:31,0.292,0.02,0.04,0.053,95,94,1,0.558,59,,
EV027,9/28/2018 16:37,9/28/2018 19:04,30.69,0.79,1.67,2.458,97,95.5,1.5,61.366,75.56,,
EV027,9/28/2018 9:34,9/28/2018 16:26,98.377,1.63,5.23,6.867,99,52,47,203.35,76.64,,
EV027,9/28/2018 9:01,9/28/2018 9:24,7.409,0.02,0.35,0.372,88,64.5,23.5,14.225,67.28,,
EV027,9/28/2018 5:51,9/28/2018 8:48,45.759,0.87,2.08,2.953,88.5,89,-0.5,91.153,59.72,,
EV027,9/27/2018 22:18,9/27/2018 22:21,0.16,0.01,0.04,0.042,92.5,92,0.5,0.3,70.52,,
EV027,9/27/2018 19:00,9/27/2018 19:10,0.41,0.09,0.07,0.167,61.5,57.5,4,0.89,81.32,,
EV027,9/27/2018 18:16,9/27/2018 18:23,2.6,0,0.11,0.111,72.5,65,7.5,4.716,86.72,,
EV027,9/27/2018 17:08,9/27/2018 17:51,13.588,0.04,0.68,0.728,73.5,35,38.5,26.583,92.12,,
EV027,9/27/2018 16:15,9/27/2018 16:52,10.883,0.05,0.56,0.611,66,40,26,22.123,98.96,,
EV027,9/27/2018 15:54,9/27/2018 16:04,2.826,0.02,0.15,0.175,80,71.5,8.5,7.044,100.4,,
EV027,9/27/2018 12:18,9/27/2018 15:40,48.774,0.93,2.43,3.358,85.5,47.5,38,112.792,96.44,,
EV027,9/27/2018 10:54,9/27/2018 12:07,20.113,0.29,0.93,1.222,98,87.5,10.5,41.585,87.8,,
EV027,9/27/2018 5:37,9/27/2018 10:39,71.839,1.38,3.64,5.022,95,54.5,40.5,145.97,69.8,,
EV027,9/26/2018 17:22,9/26/2018 17:35,0.245,0.16,0.06,0.214,100,97.5,2.5,0.896,91.4,,
EV027,9/26/2018 8:04,9/26/2018 8:13,2.37,0,0.15,0.147,98,100,-2,3.54,64.04,,
EV027,9/26/2018 5:37,9/26/2018 7:47,30.029,0.55,1.61,2.161,93,57.5,35.5,63.108,59.72,,
EV027,9/25/2018 19:59,9/25/2018 20:05,0.212,0.07,0.03,0.103,89,98.5,-9.5,0.536,76.64,,
EV027,9/25/2018 18:30,9/25/2018 19:35,16.229,0.29,0.79,1.086,95.5,89,6.5,32.717,83.12,,
EV027,9/25/2018 17:45,9/25/2018 18:15,7.469,0.1,0.4,0.5,56.5,42.5,14,16.415,88.52,,
EV027,9/25/2018 14:45,9/25/2018 17:35,41.09,0.74,2.09,2.828,83.5,59,24.5,94.706,97.52,,
EV027,9/25/2018 14:14,9/25/2018 14:32,6.426,0.02,0.28,0.303,99,85,14,12.638,95,,
EV027,9/25/2018 11:54,9/25/2018 14:04,30.675,0.57,1.59,2.161,84.5,49,35.5,70.537,95.72,,
EV027,9/24/2018 22:59,9/24/2018 23:30,0.53,0.36,0.15,0.506,90,87.5,2.5,1.85,67.64,,
EV027,9/24/2018 18:32,9/24/2018 19:42,16.401,0.35,0.81,1.167,87.5,89,-1.5,33.783,84.2,,
EV027,9/24/2018 14:45,9/24/2018 18:15,48.953,1,2.5,3.494,85.5,42.5,43,116.515,96.44,,
EV027,9/24/2018 14:14,9/24/2018 14:33,6.451,0.02,0.29,0.308,99,87,12,13.83,95.72,,
EV027,9/24/2018 11:48,9/24/2018 14:00,30.111,0.71,1.5,2.206,80,53.5,26.5,72.593,97.52,,
EV027,9/21/2018 23:08,9/21/2018 23:11,0.305,0.01,0.06,0.064,86,83.5,2.5,0.596,65.84,,
EV027,9/21/2018 17:05,9/21/2018 17:08,0.23,0.01,0.05,0.061,87.5,85.5,2,0.487,96.44,,
EV027,9/20/2018 16:58,9/20/2018 17:01,0.242,0.01,0.04,0.05,89,87,2,0.541,93.92,,
EV027,9/19/2018 19:31,9/19/2018 19:38,0.254,0.05,0.07,0.119,89.5,91,-1.5,0.618,75.2,,
EV027,9/19/2018 18:07,9/19/2018 18:15,2.626,0.01,0.13,0.139,97,90,7,6.013,84.2,,
