Vehicle ID,Charger ID,Local Connect Time,Local Disconnect Time,Local Charge Start Time,Local Charge End Time,Average Power,Max Power,Total Energy Delivered,Starting SOC,Ending SOC
EV026,CH007-CH008,,,9/20/2017 10:52,9/20/2017 11:01,300.97,357.92,16.289,71.5,96.5
EV026,CH007-CH008,,,9/20/2017 11:56,9/20/2017 12:03,295.214,360.46,26.564,62.5,100
EV026,CH007-CH008,,,9/20/2017 13:01,9/20/2017 13:07,23.561,134.9,32.611,55.5,98.5
EV026,CH007-CH008,,,9/20/2017 14:26,9/20/2017 14:33,163.319,266.78,14.461,63.5,84
EV026,CH007-CH008,,,9/20/2017 15:34,9/20/2017 15:39,331.512,371.6,22.945,67,100
EV026,CH007-CH008,,,9/22/2017 6:07,9/22/2017 6:16,280.039,372.64,19.561,74,100
EV026,CH007-CH008,,,9/22/2017 7:01,9/22/2017 7:05,298.612,354.48,20.025,73.5,100
EV026,CH007-CH008,,,9/22/2017 7:54,9/22/2017 7:59,341.789,377.24,21.453,72,100
EV026,CH007-CH008,,,9/22/2017 8:57,9/22/2017 9:02,148.489,260.7,36.364,51,99.5
EV026,CH007-CH008,,,9/22/2017 9:53,9/22/2017 9:57,23.074,43.14,28.261,57,100
EV026,CH007-CH008,,,9/22/2017 10:55,9/22/2017 10:59,310.723,349.04,25.543,62.5,97.5
EV026,CH007-CH008,,,9/22/2017 11:56,9/22/2017 12:03,271.102,363.52,26.335,62.5,100
EV026,CH007-CH008,,,9/22/2017 12:54,9/22/2017 12:59,304.023,347.26,27.662,60,98.5
EV026,CH007-CH008,,,9/22/2017 14:01,9/22/2017 14:07,335.458,367.36,27.454,61.5,100
EV026,CH007-CH008,,,9/22/2017 15:00,9/22/2017 15:05,234.422,329.36,23.519,65.5,99
EV026,CH007-CH008,,,9/22/2017 16:06,9/22/2017 16:12,289.365,354.44,19.974,73.5,100
EV026,CH007-CH008,,,9/22/2017 17:00,9/22/2017 17:05,335.441,372.74,30.34,58.5,100
EV026,CH007-CH008,,,9/22/2017 18:09,9/22/2017 18:14,296.016,357.52,19.37,65.5,93
EV026,CH007-CH008,,,9/22/2017 19:01,9/22/2017 19:06,301.886,339.18,20.691,72.5,100
EV026,CH007-CH008,,,9/22/2017 20:32,9/22/2017 20:40,258.739,345.52,22.528,67.5,100
EV026,CH007-CH008,,,9/26/2017 8:05,9/26/2017 8:09,228.539,346.84,19.551,74,100
EV026,CH007-CH008,,,9/26/2017 9:03,9/26/2017 9:08,256.447,361.54,23.764,66.5,100
EV026,CH007-CH008,,,9/26/2017 10:08,9/26/2017 10:13,-3.588,-3.36,27.501,56,91.5
EV026,CH007-CH008,,,9/26/2017 11:05,9/26/2017 11:10,312.062,349.68,29.017,59.5,100
EV026,CH007-CH008,,,9/26/2017 12:06,9/26/2017 12:12,275.762,339.8,25.194,64,100
EV026,CH007-CH008,,,9/26/2017 13:10,9/26/2017 13:16,212.546,371.98,27.717,61,100
EV026,CH007-CH008,,,9/26/2017 14:10,9/26/2017 14:18,202.618,274.46,24.609,65,100
EV026,CH007-CH008,,,9/26/2017 15:13,9/26/2017 15:20,275.801,330.68,24.702,65,100
EV026,CH007-CH008,,,9/26/2017 16:29,9/26/2017 16:38,302.554,372.9,27.198,61.5,100
EV026,CH007-CH008,,,9/26/2017 17:26,9/26/2017 17:31,275.491,365.8,25.309,62.5,97.5
EV026,CH007-CH008,,,9/26/2017 18:18,9/26/2017 18:26,196.701,265.16,24.664,64,98.5
EV026,CH007-CH008,,,9/26/2017 19:19,9/26/2017 19:24,237.788,332.9,21.508,67.5,98.5
EV026,CH007-CH008,,,9/27/2017 7:57,9/27/2017 8:00,210.594,269.88,23.065,66.5,100
EV026,CH007-CH008,,,9/27/2017 9:11,9/27/2017 9:17,249.685,298.9,21.085,72,100
EV026,CH007-CH008,,,9/27/2017 10:08,9/27/2017 10:12,165.874,192.2,19.931,73.5,100
